Text,Translation,Tag
"I used to remember, I remembered, remembering",θυμόμουν,Past continuous of -μαι verbs
"I was heard, I sounded, sounded",ακουγόμουν,Past continuous of -μαι verbs
"I used to get lost, I was getting lost",χανόμουν,Past continuous of -μαι verbs
was sitting,καθόμουν,Past continuous of -μαι verbs
"I was getting up, I used to get up",σηκωνόμουν,Past continuous of -μαι verbs
"subscribed (masc.), subscribed, registered",εγγεγραμμένος,Past Participle
granted,δεδομένος,Past Participle
"worker, working",εργαζόμενος,Past Participle
warming,θερμαινόμενος,Past Participle
refusing to,αρνούμενος,Past Participle
"thinking, sensible",σκεπτόμενος,Past Participle
hidden,κρυμμένος,Past Participle
spelled,γραμμένος,Past Participle
"favorite / favourite, favorite, sweetheart",αγαπημένος,Past Participle
drunk,πιωμένος,Past Participle
paid,πληρωμένος,Past Participle
"satisfied, delighted, pleased",ευχαριστημένος,Past Participle
well-read,διαβασμένος,Past Participle
"dependent on, addicted to, depended",εξαρτημένος,Past Participle
used,χρησιμοποιημένος,Past Participle
"finished, done for",τελειωμένος,Past Participle
"prohibited, forbidden",απαγορευμένος,Past Participle
"lost, loser",χαμένος,Past Participle
invited,καλεσμένος,Past Participle
I was disappointed,είχα απογοητευτεί,Past perfect simple (I had …)
it had happened,είχε συμβεί,Past perfect simple (I had …)
I had refused the charge.,είχα αρνηθεί,Past perfect simple (I had …)
"had answered, had answered you",είχα απαντήσει,Past perfect simple (I had …)
(I) had given,είχα δώσει,Past perfect simple (I had …)
I had left,είχα φύγει,Past perfect simple (I had …)
had used,είχα χρησιμοποιήσει,Past perfect simple (I had …)
I played,είχα παίξει,Past perfect simple (I had …)
"had become, had happened",είχε γίνει,Past perfect simple (I had …)
"had spoken, had talked",είχα μιλήσει,Past perfect simple (I had …)
had been,είχα πάει,Past perfect simple (I had …)
have cooked,είχα μαγειρέψει,Past perfect simple (I had …)
"I received, I got",παρέλαβα,Past simple
"I cleaned, cleared",καθάρισα,Past simple
"I spent, I have spent, i confused with",πέρασα,Past simple
"supported, claimed",υποστήριξα,Past simple
I hoped,ήλπισα,Past simple
I tried,προσπάθησα,Past simple
"I delivered, I handed in, i handed over",παρέδωσα,Past simple
I begged,παρακάλεσα,Past simple
"I didn't watch my step, I wasn't careful, I didn't pay attention",πρόσεξα,Past simple
"I threw away, I flew",πέταξα,Past simple
"I adored, I loved",λάτρεψα,Past simple
"did I thank, I thanked, thank",ευχαρίστησα,Past simple
I maintained,διατήρησα,Past simple
"i failed, failed",απέτυχα,Past simple
"I lost, lost, I missed",έχασα,Past simple
(I) searched,έψαξα,Past simple
"believed, thought",πίστεψα,Past simple
"started, begun",ξεκίνησα,Past simple
"I picked up, I lifted",σήκωσα,Past simple
"emailed, (I) sent, texted",έστειλα,Past simple
I lived,έζησα,Past simple
I tried,δοκίμασα,Past simple
"I turned off, locked",έκλεισα,Past simple
"I came back, I returned",επέστρεψα,Past simple
I called,κάλεσα,Past simple
loved,αγάπησα,Past simple
"I remembered, recalled",θυμήθηκα,Past simple
"changed, switched",άλλαξα,Past simple
"(I) looked (at), took a look",κοίταξα,Past simple
"left, went, I left",έφυγα,Past simple
felt,ένιωσα,Past simple
I added,πρόσθεσα,Past simple
"asked, I asked, inquired",ρώτησα,Past simple
I followed,ακολούθησα,Past simple
i met,γνώρισα,Past simple
"i drove, rode, ridden",οδήγησα,Past simple
"I met, encountered",συνάντησα,Past simple
introduced,σύστησα,Past simple
I recognised,αναγνώρισα,Past simple
"kept, I kept, booked",κράτησα,Past simple
"happened, did it happen",συνέβη,Past simple
"(I) forgot, forgetting, left",ξέχασα,Past simple
showed,έδειξα,Past simple
"fell, I fell, ran into",έπεσα,Past simple
drawn,σχεδίασα,Past simple
"mowed, picked, clipped",έκοψα,Past simple
I put (past),έβαλα,Past simple
"knew, I knew, known",ήξερα,Past simple
worked,δούλεψα,Past simple
"went out, snuck",βγήκα,Past simple
"leave - left, left",άφησα,Past simple
"did, I made",έφτιαξα,Past simple
"touched, I touched",άγγιξα,Past simple
"entered, got in, I entered",μπήκα,Past simple
I brought,έφερα,Past simple
"I answered, Did i answer, answered",απάντησα,Past simple
"I finished, finished",τελείωσα,Past simple
"I opened, opened, unpacked",άνοιξα,Past simple
"won, I won, conquered",νίκησα,Past simple
I bought,αγόρασα,Past simple
"walked, I walked",περπάτησα,Past simple
I could,μπόρεσα,Past simple
"gave, have given, I gave",έδωσα,Past simple
stayed,έμεινα,Past simple
"stopped, have stopped, paused",σταμάτησα,Past simple
"I got, I took out, took",πήρα,Past simple
"used, have used, I used",χρησιμοποίησα,Past simple
"(I) wrote, I wrote",έγραψα,Past simple
"found, (I) found, I found",βρήκα,Past simple
"listened, I heard, heard",άκουσα,Past simple
"I wanted, wanted, I did want",ήθελα,Past simple
"(I) said, (I) told, said",είπα,Past simple
"do, had, I made",έκανα,Past simple
"I had, I have had, had",είχα,Past simple
"I saw, I watched",είδα,Past simple
"played, I played",έπαιξα,Past simple
cooked,μαγείρεψα,Past simple
"drank, mild",ήπια,Past simple
I ate,έφαγα,Past simple
"I have been, I was, was",ήμουν,Past simple
"came, I came",ήρθα,Past simple
"I spoke, talked, spoke",μίλησα,Past simple
"I went, went, took",πήγα,Past simple
fell in love,ερωτεύτηκα,Past simple of -μαι verbs
I was sad,λυπήθηκα,Past simple of -μαι verbs
discouraged,απογοητεύτηκα,Past simple of -μαι verbs
I felt,αισθάνθηκα,Past simple of -μαι verbs
"I looked at myself, I got a look at myself",κοιτάχτηκα,Past simple of -μαι verbs
I got scared,φοβήθηκα,Past simple of -μαι verbs
I was influenced,επηρεάστηκα,Past simple of -μαι verbs
"I got painted, I put on make up",βάφτηκα,Past simple of -μαι verbs
I got dressed,ντύθηκα,Past simple of -μαι verbs
I felt hot,ζεστάθηκα,Past simple of -μαι verbs
I was born,γεννήθηκα,Past simple of -μαι verbs
"I washed up, washed",πλύθηκα,Past simple of -μαι verbs
I got lost,χάθηκα,Past simple of -μαι verbs
"rest, rested",ξεκουράστηκα,Past simple of -μαι verbs
I got up,σηκώθηκα,Past simple of -μαι verbs
"thought, figured",σκέφτηκα,Past simple of -μαι verbs
I refused,αρνήθηκα,Past simple of -μαι verbs
I worked,εργάστηκα,Past simple of -μαι verbs
I accepted,δέχτηκα,Past simple of -μαι verbs
I trusted,εμπιστεύτηκα,Past simple of -μαι verbs
I needed,χρειάστηκα,Past simple of -μαι verbs
I visited,επισκέφτηκα,Past simple of -μαι verbs
(I got/am) tired,κουράστηκα,Past simple of -μαι verbs
I got bored,βαρέθηκα,Past simple of -μαι verbs
"I slept, asleep",κοιμήθηκα,Past simple of -μαι verbs
sat,κάθισα,Past simple of -μαι verbs
"I dreamed, dreamed",ονειρεύτηκα,Past simple of -μαι verbs
wished,ευχήθηκα,Past simple of -μαι verbs
"silly, stupid",ανόητος,People's character
"selfish, egoist",εγωιστής,People's character
sociable,κοινωνικός,People's character
generous,γενναιόδωρος,People's character
"unlikeable, unlikable",αντιπαθητικός,People's character
"honest, an honest",τίμιος,People's character
"likeable, likable",συμπαθητικός,People's character
"terrible, awful, foul",απαίσιος,People's character
"serious, severe",σοβαρός,People's character
"weird, bizarre",παράξενος,People's character
"negative, disapproving",αρνητικός,People's character
"kind, nice, good",ευγενικός,People's character
friendly,φιλικός,People's character
brave,γενναίος,People's character
"rude, unkind, impolite",αγενής,People's character
"insane, mad, crazy",τρελός,People's character
positive,θετικός,People's character
"kind, nice, good",καλός,People's character
"smart, intelligent, clever",έξυπνος,People's character
independent,ανεξάρτητος,People's character
"sweet, cute",γλυκός,People's character
funny,αστείος,People's character
"liable, responsible, in charge",υπεύθυνος,People's character
"quiet, silent",ήσυχος,People's character
"bad, villain",κακός,People's character
character,χαρακτήρας,People's character
mind,μυαλό,Philosophy
ideals,ιδανικά,Philosophy
"model, prototype, epitome",πρότυπο,Philosophy
educated,μορφωμένος,Philosophy
"an education, education",μόρφωση,Philosophy
"(a) pessimist, pessimistic",απαισιόδοξος,Philosophy
solidarity,αλληλεγγύη,Philosophy
"foundation, basis, stand",βάση,Philosophy
wise,σοφός,Philosophy
principles,αρχές,Philosophy
"(I) judge, judge",κρίνω,Philosophy
Enlightenment,διαφωτισμός,Philosophy
argument,επιχείρημα,Philosophy
philosopher,φιλόσοφος,Philosophy
realize,συνειδητοποιώ,Philosophy
philosophy,φιλοσοφία,Philosophy
"subconscious, subconsciousness",υποσυνείδητο,Philosophy
"truth, true",αλήθεια,Philosophy
"kind, category, variety",είδος,Philosophy
"lie, falsehood, false",ψέμα,Philosophy
"myth, legend",μύθος,Philosophy
"(a) conscience, conscience",συνείδηση,Philosophy
"optimistic, optimist, hopeful",αισιόδοξος,Philosophy
theory,θεωρία,Philosophy
experience,εμπειρία,Philosophy
"morality, ethics, continence",ηθική,Philosophy
emotional,συναισθηματικός,Philosophy
"meaning, sense, point",νόημα,Philosophy
"logic, reasonably, reasoning",λογική,Philosophy
"example, instance",παράδειγμα,Philosophy
"an answer, response, a reply",απάντηση,Philosophy
"question, inquiry",ερώτηση,Philosophy
"harbour, port, harbor",λιμάνι,Places
farm,αγρόκτημα,Places
"peak, top, the top",κορυφή,Places
square,πλατεία,Places
town,κωμόπολη,Places
"prison, jail, in prison",φυλακή,Places
zoological,ζωολογικός,Places
"flat, apartment, condo",διαμέρισμα,Places
"vicinity, neighborhood",γειτονιά,Places
"theatre, movie theater, cinema",κινηματογράφος,Places
"route, commute, way",διαδρομή,Places
"corner, angle, on the corner",γωνία,Places
"inside, interior, indoor",εσωτερικό,Places
tower,πύργος,Places
"avenue, boulevard",λεωφόρος,Places
"part, around, venue",μέρος,Places
"hotel, at a hotel",ξενοδοχείο,Places
valley,κοιλάδα,Places
"shore, the coast, coast",ακτή,Places
"capital, capital city",πρωτεύουσα,Places
"village, a village",χωριό,Places
"station, stop, post",σταθμός,Places
bar,μπαρ,Places
"ownership, property, owning",ιδιοκτησία,Places
"buy, market, buying",αγορά,Places
"(an) island, island",νησί,Places
"department, part, section",τμήμα,Places
"circumference, district, province",περιφέρεια,Places
bank,τράπεζα,Places
"cemetery, graveyard",νεκροταφείο,Places
building,κτήριο,Places
"address, direction",διεύθυνση,Places
"area, district, region",περιοχή,Places
park,πάρκο,Places
"supermarket, supermarkets, a supermarket",σουπερμάρκετ,Places
castle,κάστρο,Places
"center, centre, middle",κέντρο,Places
"shop, store",μαγαζί,Places
"town, city",πόλη,Places
"road, route, street",δρόμος,Places
"airport, an airport",αεροδρόμιο,Places
church,εκκλησία,Places
tavern,ταβέρνα,Places
country,χώρα,Places
"gym, gymnasium, the gym",γυμναστήριο,Places
restaurant,εστιατόριο,Places
"beach, seaside, beachfront",παραλία,Places
"cafeteria, coffee shop, cafe",καφετέρια,Places
treaty,συνθήκη,Politics
"armed forces, military, army",στρατός,Politics
unemployment,ανεργία,Politics
dictatorship,δικτατορία,Politics
"demonstration, the demonstration, protests",διαδήλωση,Politics
"borders, border",σύνορα,Politics
revolution,επανάσταση,Politics
strike,απεργία,Politics
providing,παροχή,Politics
right,δικαίωμα,Politics
"I struggle, I fight, struggling",αγωνίζομαι,Politics
"demonstration, route, protest march",πορεία,Politics
displeasure,δυσαρέσκεια,Politics
union,σωματείο,Politics
folk,λαϊκός,Politics
"I am concerned, I am occupied with, I am involved in",ασχολούμαι,Politics
"issue, matter",ζήτημα,Politics
publish,εκδίδω,Politics
"politician, political",πολιτικός,Politics
"violence, force",βία,Politics
party,κόμμα,Politics
mayor,δήμαρχος,Politics
queen,βασίλισσα,Politics
"candidate, a candidate",υποψήφιος,Politics
king,βασιλιάς,Politics
"I am interested, interested",ενδιαφέρομαι,Politics
"commander, governor, the ruler of",κυβερνήτης,Politics
movement,κίνημα,Politics
prime minister,πρωθυπουργός,Politics
public,δημόσιος,Politics
"minister, secretary of the treasury",υπουργός,Politics
parliament,κοινοβούλιο,Politics
"ministry, department",υπουργείο,Politics
slave,δούλος,Politics
"freedom, liberty",ελευθερία,Politics
"I disagree, disagree",διαφωνώ,Politics
"vote, votes",ψήφος,Politics
"hymn, anthem, anthems",ύμνος,Politics
"power, authority",εξουσία,Politics
oligarchy,ολιγαρχία,Politics
national,εθνικός,Politics
"magistrate, a judge",δικαστικός,Politics
court,δικαστήριο,Politics
elections,εκλογές,Politics
"democracy, republic",δημοκρατία,Politics
ally,σύμμαχος,Politics
government,κυβέρνηση,Politics
"community, society",κοινωνία,Politics
"president, the president",πρόεδρος,Politics
"deciding, determination, decision",απόφαση,Politics
law,νόμος,Politics
state,κράτος,Politics
"vote, I vote",ψηφίζω,Politics
"(to) trust, trust",εμπιστευτώ,Politics
"(I) get up, stand",σηκωθώ,Politics
"accept, agree",δεχτώ,Politics
"nearby, close to",κοντά,Prepositions
except,εκτός,Prepositions
"because (of), due to, because of",λόγω,Prepositions
"according, against, by",κατά,Prepositions
"towards, to",προς,Prepositions
instead,αντί,Prepositions
between,μεταξύ,Prepositions
"after, then",μετά,Prepositions
down,κάτω,Prepositions
without,χωρίς,Prepositions
"on, over, on top of",πάνω,Prepositions
"out, outside",έξω,Prepositions
"like, as, such as",όπως,Prepositions
"because of, due to",εξαιτίας,Prepositions
"behind, back",πίσω,Prepositions
"inside, into, in",μέσα,Prepositions
"next to, near, by",δίπλα,Prepositions
"like, as, in",σαν,Prepositions
"for, about",για,Prepositions
"among, between, Amidst",ανάμεσα,Prepositions
"us, to us",εμάς,Prepositions
me,εμένα,Prepositions
to,σε,Prepositions
I am,έχω χαθεί,Present perfect simple (I have ...)
I have started,έχω αρχίσει,Present perfect simple (I have ...)
have loved,έχω αγαπήσει,Present perfect simple (I have ...)
"have answered, have replied, have responded",έχω απαντήσει,Present perfect simple (I have ...)
"I have won, have won, I've won",έχω νικήσει,Present perfect simple (I have ...)
"I have taken, I have gotten, I have received",έχω πάρει,Present perfect simple (I have ...)
"have been, have gone",έχω πάει,Present perfect simple (I have ...)
(I) have talked (to),έχω μιλήσει,Present perfect simple (I have ...)
"very, too",πάρα,Quantities
"nothing, not anything",τίποτα,Quantities
"no, no...at all, no one",καμία,Quantities
"each one, everybody, everyone",καθένας,Quantities
"any, no, none",κανένα,Quantities
"other, another, else",άλλη,Quantities
"other, else",άλλος,Quantities
"more, anymore, other",άλλο,Quantities
something,κάτι,Quantities
"every, each",κάθε,Quantities
"any, nobody, anybody",κανείς,Quantities
"someone, some",κάποια,Quantities
"someone, somebody, one",κάποιος,Quantities
some,κάποιο,Quantities
some,μερικοί,Quantities
"a bit (of), a little bit, a little",λίγο,Quantities
whose,των οποίων,Relative pronouns
"who, which",η οποία,Relative pronouns
"that, who, which",το οποίο,Relative pronouns
"so, so much",τόσος,Relative pronouns
"who, that",οι οποίοι,Relative pronouns
"who, whom",τους οποίους,Relative pronouns
whoever,όποιος,Relative pronouns
"where, anywhere, wherever",όπου,Relative pronouns
"who, which",ο οποίος,Relative pronouns
"where, that, whom",που,Relative pronouns
whose,του οποίου,Relative pronouns
"all, what, everything","ό,τι",Relative pronouns
whom,τον οποίον,Relative pronouns
"primary, primary school, elementary",δημοτικό,School
"school, faculty",σχολή,School
kindergarten,νηπιαγωγείο,School
high school,λύκειο,School
middle school,γυμνάσιο,School
"classroom, class, grade",τάξη,School
"idea, concept, clue",ιδέα,School
study,εξετάζω,School
"document, paper",έγγραφο,School
poem,ποίημα,School
"diploma, degree, certificate",πτυχίο,School
"degree, point",βαθμός,School
"examination, test, exam",εξέταση,School
"successful, successful candidate",επιτυχών,School
checking,ελέγχω,School
"Ph.D., doctorate, a doctorate",διδακτορικό,School
"goal, target, aim",στόχος,School
"(a) Master, the Master's",μεταπτυχιακό,School
"the teaching, teaching, instruction",διδασκαλία,School
"history, story",ιστορία,School
"semester, midterm",εξάμηνο,School
"teacher, a teacher, instructor",δάσκαλος,School
untie,λύνω,School
"importance, meaning, matters",σημασία,School
page,σελίδα,School
"lecture, a lecture",διάλεξη,School
"university, college",πανεπιστήμιο,School
exercise,άσκηση,School
presentation,παρουσίαση,School
"professor, tutor",καθηγητής,School
"word, a word",λέξη,School
"I understood, got it, understood",κατάλαβα,School
"proposition, recommendation, proposal",πρόταση,School
"chapter, capital",κεφάλαιο,School
knowledge,γνώση,School
rule,κανόνας,School
"lesson, course, subject",μάθημα,School
"test, exam, a test",διαγώνισμα,School
"reason, purpose, speech",λόγος,School
"I study, study, I'm studying",σπουδάζω,School
"education, training",εκπαίδευση,School
"schedule, program, programme",πρόγραμμα,School
"I am learning, I learn, learning",μαθαίνω,School
studies,σπουδές,School
"school, to school",σχολείο,School
"habitat, clue",στοιχείο,Science
astronaut,αστροναύτης,Science
"rocket, rocket ship",πύραυλος,Science
organization/organisation,οργανισμός,Science
chemist,χημικός,Science
physics,φυσική,Science
chemistry,χημεία,Science
"research, investigating",ερευνώ,Science
I invent,εφευρίσκω,Science
"amount, quantity",ποσότητα,Science
Biology,βιολογία,Science
method,μέθοδος,Science
"cause, reason, ground",αιτία,Science
"article, piece",άρθρο,Science
"depth, deepness, bottom",βάθος,Science
invention,εφεύρεση,Science
"research, investigation",έρευνα,Science
"laboratory, lab",εργαστήριο,Science
scientist,επιστήμονας,Science
definition,ορισμός,Science
electricity,ηλεκτρισμός,Science
"technology, tech",τεχνολογία,Science
"token, specimen, sample",δείγμα,Science
limit,όριο,Science
surface,επιφάνεια,Science
"crowd, mass",μάζα,Science
"technological, tech",τεχνολογικός,Science
"discovery, find (noun), detection",ανακάλυψη,Science
analysis,ανάλυση,Science
energy,ενέργεια,Science
"speed, velocity, rapidity",ταχύτητα,Science
"unit, entity, monad",μονάδα,Science
detail,λεπτομέρεια,Science
temperature,θερμοκρασία,Science
"technique, method",τεχνική,Science
"remark, observation",παρατήρηση,Science
scientific,επιστημονικός,Science
"case, assumption",υπόθεση,Science
"conclusion, inference",συμπέρασμα,Science
"science, a science",επιστήμη,Science
"process, procedure",διαδικασία,Science
experiment,πείραμα,Science
congratulations,συγχαρητήρια,Social Events
"fact, event",γεγονός,Social Events
event,εκδήλωση,Social Events
"market, marketplace, fair",παζάρι,Social Events
ceremony,τελετή,Social Events
"lottery, lottery ticket",λαχείο,Social Events
"party, parties",πάρτι,Social Events
bravo,μπράβο,Social Events
"winner, winning",νικητής,Social Events
"contest, competition",διαγωνισμός,Social Events
"inauguration, oath taking, swearing in",ορκωμοσία,Social Events
"celebration, celebation, festival",γιορτή,Social Events
"graduation, graduating, graduations",αποφοίτηση,Social Events
"raffle, drawing, draw",κλήρωση,Social Events
marathon,μαραθώνιος,Social Events
"festival, festivals",φεστιβάλ,Social Events
firework,πυροτέχνημα,Social Events
funeral,κηδεία,Social Events
death,θάνατος,Social Events
die,πεθαίνω,Social Events
"birthday, birthdays",γενέθλια,Social Events
profile,προφίλ,Social Media
group conversation,ομαδική συνομιλία,Social Media
"report, mention, reference",αναφορά,Social Media
comment,σχολιάζω,Social Media
active,ενεργός,Social Media
nickname,ψευδώνυμο,Social Media
"post, posting",ανάρτηση,Social Media
user,χρήστης,Social Media
notification,ειδοποίηση,Social Media
a friend request,αίτημα φιλίας,Social Media
"share, sharing",κοινοποίηση,Social Media
"bill, check, account",λογαριασμός,Social Media
social media,μέσα κοινωνικής δικτύωσης,Social Media
misfortune,ατυχία,Spirituality
nightmare,εφιάλτης,Spirituality
luck,τύχη,Spirituality
blessing,ευλογία,Spirituality
"dream, a dream",όνειρο,Spirituality
"grave, tomb",τάφος,Spirituality
halo,φωτοστέφανο,Spirituality
demon,δαίμονας,Spirituality
angel,άγγελος,Spirituality
saint,άγιος,Spirituality
"Heaven, Paradise",παράδεισος,Spirituality
Hell,κόλαση,Spirituality
"symbol, sign, emblem",σύμβολο,Spirituality
religion,θρησκεία,Spirituality
"faith, belief",πίστη,Spirituality
"Present, This, present",παρόν,Spirituality
"prayer, praying",προσευχή,Spirituality
religious,θρήσκος,Spirituality
"future, a future",μέλλον,Spirituality
superstition,δεισιδαιμονία,Spirituality
penalty area (sports),μεγάλη περιοχή,Sports
"goalmouth [sports], goalmouth",μικρή περιοχή,Sports
"referee, umpire",διαιτητής,Sports
broadcaster,εκφωνητής,Sports
"defence, defense",άμυνα,Sports
"sportswriter, sports reporter",αθλητικογράφος,Sports
"attack, offense",επίθεση,Sports
"goal, goals",γκολ,Sports
"end, goal, terminal",τέρμα,Sports
"kick, I kick the ball",κλωτσώ,Sports
"defender, defenceman",αμυντικός,Sports
goalkeeper (m. & f.),τερματοφύλακας,Sports
"pass, handoff",πάσα,Sports
player,παίκτης,Sports
"follower, fan, believer",οπαδός,Sports
net,δίχτυ,Sports
"soccer, football",ποδόσφαιρο,Sports
"football player, footballer, soccer player",ποδοσφαιριστής,Sports
"coach, trainer",προπονητής,Sports
"versus, vs, against",εναντίον,Sports
"team, group",ομάδα,Sports
"opposing, enemy, opponent",αντίπαλος,Sports
"sportsman, fan",φίλαθλος,Sports
score,σκοράρω,Sports
"captain, commander, leader",αρχηγός,Sports
"championship, league",πρωτάθλημα,Sports
"pitch, playing field, court",γήπεδο,Sports
volleyball,βόλεϊ,Sports
basketball,μπάσκετ,Sports
"ball, a ball",μπάλα,Sports
volleyball,πετοσφαίριση,Sports
basketball,καλαθοσφαίριση,Sports
"point, score",πόντος,Sports
"equipment, outfit",εξοπλισμός,Sports
record,ρεκόρ,Sports
"cup, championship game",κύπελλο,Sports
wrestling,πάλη,Sports
champion,πρωταθλητής,Sports
boxing,πυγμαχία,Sports
step,βήμα,Sports
medal,μετάλλιο,Sports
"match, game, race",αγώνας,Sports
track and field,στίβος,Sports
muscles,μυς,Sports
muscular,μυώδης,Sports
ideal,ιδεώδες,Sports
"athletism, athletics",αθλητισμός,Sports
"fitness instructor, a fitness instructor",γυμναστής,Sports
"work out, working out, exercise",γυμναστική,Sports
sport,άθλημα,Sports
"athlete, sportsman, sportsperson",αθλητής,Sports
athletic,αθλητικός,Sports
leave,φύγω,Subjunctive of common verbs
(I) protect,προστατέψω,Subjunctive of common verbs
open,ανοίξω,Subjunctive of common verbs
"leave, (I) let, let",αφήσω,Subjunctive of common verbs
"shut, close, shutting",κλείσω,Subjunctive of common verbs
"(I) try, try",προσπαθήσω,Subjunctive of common verbs
go out,βγω,Subjunctive of common verbs
pay,πληρώσω,Subjunctive of common verbs
"(I) enter, (I) get (in), enter",μπω,Subjunctive of common verbs
"finish, end",τελειώσω,Subjunctive of common verbs
(I) bring,φέρω,Subjunctive of common verbs
follow,ακολουθήσω,Subjunctive of common verbs
(I) start/begin,ξεκινήσω,Subjunctive of common verbs
"(I) return, (I) come back",επιστρέψω,Subjunctive of common verbs
(I) send,στείλω,Subjunctive of common verbs
"cook, make",μαγειρέψω,Subjunctive of common verbs
"(I) become, become",γίνω,Subjunctive of common verbs
"talk, speak",μιλήσω,Subjunctive of common verbs
"begin, start",αρχίσω,Subjunctive of common verbs
come,έρθω,Subjunctive of common verbs
"come by, drop by, pass",περάσω,Subjunctive of common verbs
"take, get, I get",πάρω,Subjunctive of common verbs
"help, aid, assist",βοηθήσω,Subjunctive of common verbs
"answer, reply, respond",απαντήσω,Subjunctive of common verbs
"stay, staying",μείνω,Subjunctive of common verbs
"buy, purchasing",αγοράσω,Subjunctive of common verbs
sell,πουλήσω,Subjunctive of common verbs
"let's, let us, may",ας,Subjunctive of common verbs
"it should (for past), you, had to",έπρεπε,Subjunctive of common verbs
put,βάλω,Subjunctive of common verbs
"notice, be careful, watch out",προσέξω,Subjunctive of common verbs
"read, study",διαβάσω,Subjunctive of common verbs
find,βρω,Subjunctive of common verbs
make,φτιάξω,Subjunctive of common verbs
"happens, happen, happened",συμβεί,Subjunctive of common verbs
try,δοκιμάσω,Subjunctive of common verbs
"to pose, (I) ask, ask",ρωτήσω,Subjunctive of common verbs
"look for, search for",ψάξω,Subjunctive of common verbs
"(I) forget, forget",ξεχάσω,Subjunctive of common verbs
fly (1st sing.),πετάξω,Subjunctive of common verbs
drink,πιω,Subjunctive of common verbs
"say, tell",πω,Subjunctive of common verbs
"show, (I) to show, shown",δείξω,Subjunctive of common verbs
"can, might, be able",μπορέσω,Subjunctive of common verbs
"walk, to walk/walking",περπατήσω,Subjunctive of common verbs
play,παίξω,Subjunctive of common verbs
want,θελήσω,Subjunctive of common verbs
"(I) use, use",χρησιμοποιήσω,Subjunctive of common verbs
"see, (I) see/watch, watch",δω,Subjunctive of common verbs
"writing, (I) write, write",γράψω,Subjunctive of common verbs
listen,ακούσω,Subjunctive of common verbs
"be going to + verb, we are going to, going",πρόκειται,Subjunctive of common verbs
"I'm going, go, take",πάω,Subjunctive of common verbs
love,αγαπήσω,Subjunctive of common verbs
"cut, mow",κόψω,Subjunctive of common verbs
eat,φάω,Subjunctive of common verbs
"live, living, live through",ζήσω,Subjunctive of common verbs
run,τρέξω,Subjunctive of common verbs
"I will give, give, hiring",δώσω,Subjunctive of common verbs
visit,επισκεφτώ,Subjunctive of -μαι verbs
work,εργαστώ,Subjunctive of -μαι verbs
"(I) think (about), reflect",σκεφτώ,Subjunctive of -μαι verbs
(I) imagine,φανταστώ,Subjunctive of -μαι verbs
"sleep, I go to sleep, I sleep",κοιμηθώ,Subjunctive of -μαι verbs
"need, needing",χρειαστώ,Subjunctive of -μαι verbs
rest,ξεκουραστώ,Subjunctive of -μαι verbs
seem,φανώ,Subjunctive of -μαι verbs
deny,αρνηθώ,Subjunctive of -μαι verbs
"remember, recall",θυμηθώ,Subjunctive of -μαι verbs
"work in, do, take care of",ασχοληθώ,Subjunctive of -μαι verbs
"only, by myself, on my own",μόνος,Talk about oneself
"same, itself",ίδιο,Talk about oneself
same,ίδια,Talk about oneself
same,ίδιος,Talk about oneself
"only, just, alone",μόνο,Talk about oneself
"only, on her own, lonely",μόνη,Talk about oneself
"someday, once, one day",κάποτε,Time
"soon, early",νωρίς,Time
"late, slowly",αργά,Time
from now on,από 'δώ και πέρα,Time
sometimes,κάποιες φορές,Time
again,ξανά,Time
"never, ever",ποτέ,Time
day,μέρα,Time
"but, spite, before",παρά,Time
again,πάλι,Time
"until, to, by the time",μέχρι,Time
half,μισή,Time
"fourth, quarter",τέταρτο,Time
decade,δεκαετία,Time
"a calendar, calendar, diary",ημερολόγιο,Time
birth,γέννηση,Time
before,πριν,Time
last year,πέρυσι,Time
this year,φέτος,Time
second,δευτερόλεπτο,Time
"period, time",περίοδος,Time
generation,γενιά,Time
"moment, 1/60 of an hour, 1/100 of a euro/dollar",λεπτό,Time
century,αιώνας,Time
moments,στιγμές,Time
"spring, springtime",άνοιξη,Time
"season, epoch, era",εποχή,Time
June,ιούνιος,Time
winter,χειμώνας,Time
december,δεκέμβριος,Time
november,νοέμβριος,Time
"fall, autumn",φθινόπωρο,Time
"summer, summertime",καλοκαίρι,Time
millennium,χιλιετία,Time
february,φεβρουάριος,Time
"July, of July",ιούλιος,Time
january,ιανουάριος,Time
September,σεπτέμβριος,Time
May,μάιος,Time
October,οκτώβριος,Time
april,απρίλιος,Time
August,αύγουστος,Time
March,μάρτιος,Time
yesterday,χθες,Time
midnight,μεσάνυχτα,Time
month,μήνας,Time
"time, year",χρόνος,Time
week,εβδομάδα,Time
age,ηλικία,Time
Sunday,κυριακή,Time
weekend,σαββατοκύριακο,Time
"date, a date",ημερομηνία,Time
"time, hour",ώρα,Time
"afternoon, midday, noon",μεσημέρι,Time
"Friday, on Friday",παρασκευή,Time
"start, origin, beginning",αρχή,Time
Saturday,σάββατο,Time
Wednesday,τετάρτη,Time
"Tuesday, third",τρίτη,Time
"fifth, Thursday",πέμπτη,Time
Monday,δευτέρα,Time
morning,πρωί,Time
today,σήμερα,Time
tonight,απόψε,Time
tomorrow,αύριο,Time
"night, evening",βράδυ,Time
day,ημέρα,Time
"night, by nightfall, tonight",νύχτα,Time
"afternoon, evening",απόγευμα,Time
"end, finale, ending",τέλος,Time
